txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,posstatuscode,cprice,ccost,cfee,cvol,cmargin,net,trades,Column K,Date,CAD Value
TF2M6D-67Y76-KML7JJ,OVGZVF-4CJSD-434TWV,ETH/BTC,forex,30:51.4,sell,market,0.04691,0.004691,0.000012,0.1,0,initiated,"L7W3WX-3VMMC-IQI72I,LEETJF-RWIHC-4QTGU4",,,,,,,,,,0.004691BTC,30:51.4,81.23
TSPNP5-PLO7P-JWILLJ,O3HT56-566NM-DL2IS2,XRP/BTC,forex,34:49.5,buy,market,0.00006872,0.003436,0.000008934,50,0,initiated,"LF677H-66ONO-BXUL7E,L42EDK-TGTR4-ODC5AA",,,,,,,,,,0.003436000BTC,34:49.5,59.5
TRO42X-LPBIN-OXLCWC,OCRBCJ-NLJ7N-O4ZWNK,ETC/ETH,forex,42:32.7,buy,market,0.042626,0.01661561,0.0000432,0.3898,0,initiated,"LMHFF7-CO7EZ-XEO6VQ,LC7MJ4-WO6GF-U4EXOO",,,,,,,,,,0.01661561ETH,42:32.7,13.97
TAGHSL-M6QIL-OVP6W2,O6R4NU-2KPMV-PQ4LB2,LTC/BTC,forex,05:13.0,sell,market,0.019007,0.00253629,0.00000659,0.13344,0,initiated,"LZHJUG-SO4IX-PV3NUV,LHU454-CUT5Q-4MMVAC",,,,,,,,,,0.00253629BTC,05:13.0,43.14
